Date,Year,Month,MonthNumber,Quarter
2025-01-02,2025,January,1,Q1
2025-01-05,2025,January,1,Q1
2025-01-07,2025,January,1,Q1
2025-01-10,2025,January,1,Q1
2025-01-12,2025,January,1,Q1
2025-01-15,2025,January,1,Q1
2025-01-18,2025,January,1,Q1
2025-01-20,2025,January,1,Q1
2025-02-01,2025,February,2,Q1
2025-02-04,2025,February,2,Q1
2025-02-07,2025,February,2,Q1
2025-02-10,2025,February,2,Q1
2025-02-12,2025,February,2,Q1
2025-02-15,2025,February,2,Q1
2025-02-18,2025,February,2,Q1
2025-03-01,2025,March,3,Q1
2025-03-05,2025,March,3,Q1
2025-03-07,2025,March,3,Q1
2025-03-10,2025,March,3,Q1
2025-03-15,2025,March,3,Q1
